Titularidad/financiación del centro	Comunidad autónoma/provincia	Enseñanza	Sexo	Total
TODOS LOS CENTROS	01 ANDALUCÍA	TOTAL	Hombres	824.946
TODOS LOS CENTROS	01 ANDALUCÍA	TOTAL	Mujeres	779.741
TODOS LOS CENTROS	02 ARAGÓN	TOTAL	Hombres	114.675
TODOS LOS CENTROS	02 ARAGÓN	TOTAL	Mujeres	105.747
TODOS LOS CENTROS	03 ASTURIAS, PRINCIPADO DE	TOTAL	Hombres	69.582
TODOS LOS CENTROS	03 ASTURIAS, PRINCIPADO DE	TOTAL	Mujeres	64.969
TODOS LOS CENTROS	04 BALEARS, ILLES	TOTAL	Hombres	100.850
TODOS LOS CENTROS	04 BALEARS, ILLES	TOTAL	Mujeres	93.027
TODOS LOS CENTROS	05 CANARIAS	TOTAL	Hombres	172.198
TODOS LOS CENTROS	05 CANARIAS	TOTAL	Mujeres	166.205
TODOS LOS CENTROS	06 CANTABRIA	TOTAL	Hombres	48.091
TODOS LOS CENTROS	06 CANTABRIA	TOTAL	Mujeres	45.496
TODOS LOS CENTROS	07 CASTILLA Y LEÓN	TOTAL	Hombres	176.013
TODOS LOS CENTROS	07 CASTILLA Y LEÓN	TOTAL	Mujeres	162.958
TODOS LOS CENTROS	08 CASTILLA-LA MANCHA	TOTAL	Hombres	186.877
TODOS LOS CENTROS	08 CASTILLA-LA MANCHA	TOTAL	Mujeres	175.406
TODOS LOS CENTROS	09 CATALUÑA	TOTAL	Hombres	711.755
TODOS LOS CENTROS	09 CATALUÑA	TOTAL	Mujeres	687.040
TODOS LOS CENTROS	Barcelona	TOTAL	Hombres	514.511
TODOS LOS CENTROS	Barcelona	TOTAL	Mujeres	487.261
TODOS LOS CENTROS	Girona	TOTAL	Hombres	70.519
TODOS LOS CENTROS	Girona	TOTAL	Mujeres	66.236
TODOS LOS CENTROS	Lleida	TOTAL	Hombres	50.416
TODOS LOS CENTROS	Lleida	TOTAL	Mujeres	63.052
TODOS LOS CENTROS	Tarragona	TOTAL	Hombres	76.309
TODOS LOS CENTROS	Tarragona	TOTAL	Mujeres	70.491
TODOS LOS CENTROS	10 COMUNITAT VALENCIANA	TOTAL	Hombres	456.737
TODOS LOS CENTROS	10 COMUNITAT VALENCIANA	TOTAL	Mujeres	426.662
TODOS LOS CENTROS	11 EXTREMADURA	TOTAL	Hombres	88.365
TODOS LOS CENTROS	11 EXTREMADURA	TOTAL	Mujeres	82.916
TODOS LOS CENTROS	12 GALICIA	TOTAL	Hombres	207.807
TODOS LOS CENTROS	12 GALICIA	TOTAL	Mujeres	193.063
TODOS LOS CENTROS	13 MADRID, COMUNIDAD DE	TOTAL	Hombres	631.743
TODOS LOS CENTROS	13 MADRID, COMUNIDAD DE	TOTAL	Mujeres	596.411
TODOS LOS CENTROS	14 MURCIA, REGIÓN DE	TOTAL	Hombres	158.971
TODOS LOS CENTROS	14 MURCIA, REGIÓN DE	TOTAL	Mujeres	141.923
TODOS LOS CENTROS	15 NAVARRA (Comunidad Foral de) (3)	TOTAL	Hombres	60.562
TODOS LOS CENTROS	15 NAVARRA (Comunidad Foral de) (3)	TOTAL	Mujeres	56.292
TODOS LOS CENTROS	16 PAÍS VASCO	TOTAL	Hombres	194.588
TODOS LOS CENTROS	16 PAÍS VASCO	TOTAL	Mujeres	173.975
TODOS LOS CENTROS	17 RIOJA, LA	TOTAL	Hombres	29.352
TODOS LOS CENTROS	17 RIOJA, LA	TOTAL	Mujeres	27.273
TODOS LOS CENTROS	18 CEUTA	TOTAL	Hombres	10.124
TODOS LOS CENTROS	18 CEUTA	TOTAL	Mujeres	9.597
TODOS LOS CENTROS	19 MELILLA	TOTAL	Hombres	10.726
TODOS LOS CENTROS	19 MELILLA	TOTAL	Mujeres	10.163
